src,dst,idx,date
16,54,0.0128205128205128,08/22/2021
17,16,0.2222222222222222,08/22/2021
17,36,0.1111111111111111,08/22/2021
18,0,0.0185185185185185,08/22/2021
18,2,0.0185185185185185,08/22/2021
18,14,0.0185185185185185,08/22/2021
18,16,0.1666666666666666,08/22/2021
18,23,0.0185185185185185,08/22/2021
18,25,0.0185185185185185,08/22/2021
18,27,0.0555555555555555,08/22/2021
18,31,0.074074074074074,08/22/2021
18,38,0.037037037037037,08/22/2021
18,45,0.0185185185185185,08/22/2021
18,52,0.0185185185185185,08/22/2021
18,54,0.0185185185185185,08/22/2021
18,62,0.037037037037037,08/22/2021
19,0,0.0307692307692307,08/22/2021
19,1,0.0153846153846153,08/22/2021
19,8,0.0307692307692307,08/22/2021
19,9,0.0307692307692307,08/22/2021
19,13,0.0153846153846153,08/22/2021
19,16,0.0153846153846153,08/22/2021
19,23,0.0153846153846153,08/22/2021
19,27,0.123076923076923,08/22/2021
19,30,0.0153846153846153,08/22/2021
19,34,0.0307692307692307,08/22/2021
19,35,0.0153846153846153,08/22/2021
19,36,0.0307692307692307,08/22/2021
19,39,0.0461538461538461,08/22/2021
19,48,0.2,08/22/2021
19,51,0.0153846153846153,08/22/2021
19,54,0.0153846153846153,08/22/2021
19,56,0.0153846153846153,08/22/2021
20,2,0.0175438596491228,08/22/2021
20,7,0.0175438596491228,08/22/2021
20,8,0.0175438596491228,08/22/2021
20,9,0.0350877192982456,08/22/2021
20,10,0.0175438596491228,08/22/2021
20,11,0.0175438596491228,08/22/2021
20,12,0.0526315789473684,08/22/2021
20,14,0.0350877192982456,08/22/2021
20,16,0.1052631578947368,08/22/2021
20,29,0.0175438596491228,08/22/2021
20,31,0.0175438596491228,08/22/2021
20,34,0.0175438596491228,08/22/2021
20,36,0.1052631578947368,08/22/2021
20,41,0.0350877192982456,08/22/2021
21,4,0.02803738317757,08/22/2021
21,8,0.0186915887850467,08/22/2021
21,9,0.0186915887850467,08/22/2021
21,16,0.0467289719626168,08/22/2021
21,27,0.0467289719626168,08/22/2021
21,29,0.0373831775700934,08/22/2021
21,34,0.0373831775700934,08/22/2021
21,36,0.02803738317757,08/22/2021
21,39,0.2429906542056074,08/22/2021
21,48,0.0186915887850467,08/22/2021
21,63,0.0186915887850467,08/22/2021
22,9,0.0276497695852534,08/22/2021
22,16,0.0921658986175115,08/22/2021
22,27,0.2027649769585253,08/22/2021
22,34,0.0138248847926267,08/22/2021
22,39,0.0184331797235023,08/22/2021
22,49,0.032258064516129,08/22/2021
22,50,0.0460829493087557,08/22/2021
22,54,0.0230414746543778,08/22/2021
22,56,0.0368663594470046,08/22/2021
23,2,0.0619469026548672,08/22/2021
23,3,0.0353982300884955,08/22/2021
23,9,0.0265486725663716,08/22/2021
23,16,0.1946902654867256,08/22/2021
23,25,0.0176991150442477,08/22/2021
23,27,0.0176991150442477,08/22/2021
23,31,0.0176991150442477,08/22/2021
23,38,0.0176991150442477,08/22/2021
23,60,0.0973451327433628,08/22/2021
24,0,0.0181818181818181,08/22/2021
24,6,0.0181818181818181,08/22/2021
24,7,0.0181818181818181,08/22/2021
24,8,0.0181818181818181,08/22/2021
24,15,0.0181818181818181,08/22/2021
24,16,0.0181818181818181,08/22/2021
24,30,0.1272727272727272,08/22/2021
24,31,0.0181818181818181,08/22/2021
24,34,0.0181818181818181,08/22/2021
24,36,0.0545454545454545,08/22/2021
24,55,0.0181818181818181,08/22/2021
24,63,0.0545454545454545,08/22/2021
25,16,0.2124624624624624,08/22/2021
25,27,0.0465465465465465,08/22/2021
25,28,0.0195195195195195,08/22/2021
25,35,0.0638138138138138,08/22/2021
25,37,0.0172672672672672,08/22/2021
25,44,0.0172672672672672,08/22/2021
25,47,0.0112612612612612,08/22/2021
25,51,0.0352852852852852,08/22/2021
25,52,0.0397897897897897,08/22/2021
25,54,0.0105105105105105,08/22/2021
26,0,0.0512820512820512,08/22/2021
26,1,0.017094017094017,08/22/2021
26,5,0.017094017094017,08/22/2021
26,9,0.188034188034188,08/22/2021
26,16,0.0598290598290598,08/22/2021
26,27,0.0256410256410256,08/22/2021
26,30,0.017094017094017,08/22/2021
26,34,0.0341880341880341,08/22/2021
26,39,0.017094017094017,08/22/2021
26,48,0.017094017094017,08/22/2021
26,52,0.0341880341880341,08/22/2021
26,56,0.0256410256410256,08/22/2021
27,0,0.0256081946222791,08/22/2021
27,8,0.0153649167733674,08/22/2021
27,9,0.0230473751600512,08/22/2021
27,16,0.1882202304737516,08/22/2021
27,22,0.0320102432778489,08/22/2021
27,25,0.0166453265044814,08/22/2021
27,30,0.0128040973111395,08/22/2021
27,35,0.0166453265044814,08/22/2021
27,36,0.0115236875800256,08/22/2021
27,39,0.0179257362355953,08/22/2021
27,48,0.0371318822023047,08/22/2021
27,49,0.0396927016645326,08/22/2021
27,50,0.0166453265044814,08/22/2021
27,51,0.0166453265044814,08/22/2021
27,52,0.0115236875800256,08/22/2021
27,54,0.0140845070422535,08/22/2021
27,56,0.029449423815621,08/22/2021
28,2,0.0135135135135135,08/22/2021
28,3,0.0168918918918918,08/22/2021
28,16,0.0945945945945946,08/22/2021
28,25,0.0641891891891891,08/22/2021
28,27,0.0472972972972973,08/22/2021
28,35,0.027027027027027,08/22/2021
28,36,0.0168918918918918,08/22/2021
28,50,0.0236486486486486,08/22/2021
28,51,0.0168918918918918,08/22/2021
28,52,0.0202702702702702,08/22/2021
28,54,0.1824324324324324,08/22/2021
29,5,0.0161290322580645,08/22/2021
29,8,0.032258064516129,08/22/2021
29,10,0.0806451612903225,08/22/2021
29,11,0.0161290322580645,08/22/2021
29,12,0.0806451612903225,08/22/2021
29,14,0.0161290322580645,08/22/2021
29,16,0.032258064516129,08/22/2021
29,20,0.0161290322580645,08/22/2021
29,21,0.0161290322580645,08/22/2021
29,31,0.0161290322580645,08/22/2021
29,34,0.0483870967741935,08/22/2021
29,36,0.0806451612903225,08/22/2021
